year,week,player_id,player,firstName,lastName,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds,This Week,Last Week,Difference
2024,7,3043078,Derrick Henry,Derrick,Henry,RB,BAL,15.73,16.96,16.35,19.31,91.51,0.9,1.22,10.19,0.05,"$9,300","$9,100",+200
2024,7,4360569,Jordan Mason,Jordan,Mason,RB,SF,11.41,12.87,12.14,16.93,70.26,0.53,1.46,10.51,0.06,"$8,800","$8,900",-100
2024,7,4241416,Chuba Hubbard,Chuba,Hubbard,RB,CAR,11.91,15.04,13.47,16.63,69.45,0.38,3.14,22.86,0.1,"$7,400","$7,400",0
2024,7,3929630,Saquon Barkley,Saquon,Barkley,RB,PHI,14.46,17.22,15.84,19.12,85.02,0.56,2.76,19.7,0.14,"$9,000","$9,200",-200
2024,7,4047365,Josh Jacobs,Josh,Jacobs,RB,GB,11.0,13.44,12.22,15.52,65.2,0.4,2.44,16.91,0.09,"$7,300","$7,600",-300
2024,7,4241985,J.K. Dobbins,J.K.,Dobbins,RB,LAC,12.26,14.32,13.29,16.71,77.96,0.47,2.07,14.15,0.08,,,
2024,7,3054850,Alvin Kamara,Alvin,Kamara,RB,NO,13.43,18.43,15.93,15.89,65.82,0.47,5.0,33.0,0.14,"$8,500","$8,800",-300
2024,7,3045147,James Conner,James,Conner,RB,ARI,11.26,13.15,12.21,16.24,68.13,0.48,1.89,12.74,0.08,"$7,700","$8,000",-300
2024,7,3916387,Lamar Jackson,Lamar,Jackson,RB,BAL,21.96,21.96,21.96,,,,,,,,,
2024,7,4430807,Bijan Robinson,Bijan,Robinson,RB,ATL,13.8,17.42,15.61,15.04,68.85,0.51,3.62,29.25,0.19,"$8,200","$8,500",-300
2024,7,4241457,Najee Harris,Najee,Harris,RB,PIT,9.81,11.67,10.74,15.85,60.96,0.34,1.86,12.89,0.08,"$7,000","$7,200",-200
2024,7,4430737,Kyren Williams,Kyren,Williams,RB,LAR,16.69,18.88,17.79,22.57,94.71,0.92,2.19,14.81,0.08,"$8,600",-,-
2024,7,4569173,Rhamondre Stevenson,Rhamondre,Stevenson,RB,NE,8.76,11.09,9.92,11.43,51.03,0.29,2.33,16.65,0.08,"$6,800","$6,800",0
2024,7,4035538,David Montgomery,David,Montgomery,RB,DET,11.08,12.76,11.92,14.15,59.26,0.64,1.68,12.35,0.04,"$8,100","$7,900",+200
2024,7,3042519,Aaron Jones,Aaron,Jones,RB,MIN,9.92,12.95,11.44,10.63,52.25,0.3,3.03,22.19,0.14,"$7,200",-,-
2024,7,4242335,Jonathan Taylor,Jonathan,Taylor,RB,IND,12.56,14.24,13.4,15.01,75.68,0.58,1.68,13.41,0.06,"$8,300","$8,400",-100
2024,7,4429795,Jahmyr Gibbs,Jahmyr,Gibbs,RB,DET,11.28,14.36,12.82,12.52,57.55,0.44,3.08,22.1,0.13,"$7,800","$7,800",0
2024,7,3916148,Tony Pollard,Tony,Pollard,RB,TEN,11.73,14.39,13.06,16.04,72.89,0.37,2.65,18.7,0.08,"$7,100","$7,000",+100
2024,7,4596448,Bucky Irving,Bucky,Irving,RB,TB,7.58,9.69,8.63,9.94,38.36,0.3,2.11,15.81,0.08,"$6,400","$5,700",+700
2024,7,4241474,Brian Robinson Jr.,Brian,Robinson Jr.,RB,WSH,12.36,14.33,13.34,15.18,65.54,0.65,1.97,15.43,0.08,,,
2024,7,4259545,D'Andre Swift,D'Andre,Swift,RB,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4426348,Jayden Daniels,Jayden,Daniels,RB,WSH,23.01,23.01,23.01,,,,,,,,,
2024,7,4427366,Breece Hall,Breece,Hall,RB,NYJ,12.8,16.5,14.65,15.17,67.53,0.43,3.7,27.83,0.15,"$7,600","$8,000",-400
2024,7,4379399,James Cook,James,Cook,RB,BUF,10.88,13.02,11.95,13.9,62.62,0.38,2.14,17.14,0.13,"$7,900","$8,200",-300
2024,7,4429013,Tank Bigsby,Tank,Bigsby,RB,JAX,9.73,10.98,10.35,13.39,61.48,0.43,1.25,9.13,0.04,"$5,800","$6,000",-200
2024,7,3116385,Joe Mixon,Joe,Mixon,RB,HOU,12.22,15.34,13.78,15.94,64.74,0.45,3.12,23.49,0.13,"$8,400","$8,300",+100
2024,7,4362238,Chase Brown,Chase,Brown,RB,CIN,9.57,11.75,10.66,12.97,54.08,0.36,2.18,16.02,0.09,"$6,500","$5,400","+1,100"
2024,7,4373626,Tyler Allgeier,Tyler,Allgeier,RB,ATL,7.41,8.5,7.96,10.34,45.42,0.31,1.09,8.9,0.04,"$5,800","$5,400",+400
2024,7,4372019,Jerome Ford,Jerome,Ford,RB,CLE,1.37,1.81,1.59,1.84,7.96,0.04,0.44,2.76,0.02,"$5,900","$6,200",-300
2024,7,3917315,Kyler Murray,Kyler,Murray,RB,ARI,18.12,18.12,18.12,,,,,,,,,
2024,7,4038815,Rico Dowdle,Rico,Dowdle,RB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
